# 0.843451
LHPLU	0	1	0	0	5	null	UCVCLVrIVICIV	ITEM/0.854914
UCVCLVrIVICIV	0	1	0	1	13	LHPLU	1	DES/0.995608
1	1	0	0	1	1	UCVCLVrIVICIV	.	QTY/0.990944

# 0.308037
WBM	0	1	1	0	3	.	Item	DES/0.663736
Item	0	1	0	0	4	WBM	#	DES/0.981313
#	0	0	0	0	1	Item	UM	DES/0.988505
UM	0	1	0	0	2	#	WBM	UM/0.501465
WBM	0	1	0	0	3	UM	DESCRIPTION	DES/0.974180
DESCRIPTION	0	1	0	0	11	WBM	PRICING	DES/0.994608
PRICING	0	1	0	1	7	DESCRIPTION	.	DES/0.984666

# 0.293036
UNV10201	0	0	1	0	8	.	BX	ITEM/0.885788
BX	0	1	0	1	2	UNV10201	4	UM/0.982593
4	1	0	0	0	1	BX	SEC.	QTY/0.988608
SEC.	0	0	1	0	4	4	BLUE	PRICE/0.733966
BLUE	0	1	0	0	4	SEC.	CLASS.	DES/0.935968
CLASS.	0	0	0	0	6	BLUE	FOLDERS	DES/0.940293
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.990123
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	27.95	DES/0.879759
27.95	1	0	0	1	5	$	.	PRICE/0.951959

# 0.292486
UNV10252	0	0	1	0	8	.	BX	ITEM/0.885788
BX	0	1	0	1	2	UNV10252	4	UM/0.982593
4	1	0	0	0	1	BX	SEC.	QTY/0.988608
SEC.	0	0	1	0	4	4	GRAY	PRICE/0.733966
GRAY	0	1	0	0	4	SEC.	CLASS.	DES/0.935968
CLASS.	0	0	0	0	6	GRAY	FOLDERS	DES/0.940293
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.990123
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990947
10/EA	0	0	0	0	5	-	$	PRICE/0.641751
$	0	0	0	1	1	10/EA	16.99	DES/0.877069
16.99	1	0	0	1	5	$	.	PRICE/0.952876

# 0.334152
UNV10251	0	0	1	0	8	.	BX	ITEM/0.885788
BX	0	1	0	1	2	UNV10251	4	UM/0.982593
4	1	0	0	0	1	BX	SEC.	QTY/0.989999
SEC.	0	0	1	0	4	4	GREEN	PRICE/0.807143
GREEN	0	1	0	0	5	SEC.	CLASS.	DES/0.989154
CLASS.	0	0	0	0	6	GREEN	FOLDERS	DES/0.914558
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.993630
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.991803
10/EA	0	0	0	0	5	-	$	PRICE/0.638682
$	0	0	0	1	1	10/EA	18.99	DES/0.879136
18.99	1	0	0	1	5	$	.	PRICE/0.959818

# 0.136418
UNV10203	0	0	1	0	8	.	BX	ITEM/0.885788
BX	0	1	0	1	2	UNV10203	4	UM/0.982593
4	1	0	0	0	1	BX	SEC.	QTY/0.988608
SEC.	0	0	1	0	4	4	RUBY	PRICE/0.568474
RUBY	0	1	0	0	4	SEC.	RED	DES/0.654181
RED	0	1	0	0	3	RUBY	CLASS.	DES/0.999191
CLASS.	0	0	0	0	6	RED	FOLDERS	DES/0.809980
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.989256
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	27.95	DES/0.879759
27.95	1	0	0	1	5	$	.	PRICE/0.951959

# 0.336284
UNV10204	0	0	1	0	8	.	BX	ITEM/0.885788
BX	0	1	0	1	2	UNV10204	4	UM/0.982593
4	1	0	0	0	1	BX	SEC.	QTY/0.992559
SEC.	0	0	1	0	4	4	YELLOW	PRICE/0.819731
YELLOW	0	1	0	0	6	SEC.	CLASS.	DES/0.971554
CLASS.	0	0	0	0	6	YELLOW	FOLDERS	DES/0.924390
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.993000
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	28.88	DES/0.879759
28.88	1	0	0	1	5	$	.	PRICE/0.951959

# 0.326461
UNV10301	0	0	1	0	8	.	BX	ITEM/0.919240
BX	0	1	0	1	2	UNV10301	6	UM/0.986663
6	1	0	0	0	1	BX	SEC.	QTY/0.989405
SEC.	0	0	1	0	4	6	BLUE	PRICE/0.781829
BLUE	0	1	0	0	4	SEC.	CLASS.	DES/0.939621
CLASS.	0	0	0	0	6	BLUE	FOLDERS	DES/0.939298
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.990123
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	18.95	DES/0.879759
18.95	1	0	0	1	5	$	.	PRICE/0.951959

# 0.327705
UNV10272	0	0	1	0	8	.	BX	ITEM/0.919240
BX	0	1	0	1	2	UNV10272	6	UM/0.986663
6	1	0	0	0	1	BX	SEC.	QTY/0.989405
SEC.	0	0	1	0	4	6	GRAY	PRICE/0.781829
GRAY	0	1	0	0	4	SEC.	CLASS.	DES/0.939621
CLASS.	0	0	0	0	6	GRAY	FOLDERS	DES/0.939298
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.990123
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.991803
10/EA	0	0	0	0	5	-	$	PRICE/0.638682
$	0	0	0	1	1	10/EA	18.99	DES/0.879136
18.99	1	0	0	1	5	$	.	PRICE/0.959818

# 0.364241
UNV10271	0	0	1	0	8	.	BX	ITEM/0.919240
BX	0	1	0	1	2	UNV10271	6	UM/0.986663
6	1	0	0	0	1	BX	SEC.	QTY/0.990687
SEC.	0	0	1	0	4	6	GREEN	PRICE/0.844632
GREEN	0	1	0	0	5	SEC.	CLASS.	DES/0.989697
CLASS.	0	0	0	0	6	GREEN	FOLDERS	DES/0.913071
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.993630
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.991803
10/EA	0	0	0	0	5	-	$	PRICE/0.638682
$	0	0	0	1	1	10/EA	18.99	DES/0.879136
18.99	1	0	0	1	5	$	.	PRICE/0.959818

# 0.161296
UNV10303	0	0	1	0	8	.	BX	ITEM/0.919240
BX	0	1	0	1	2	UNV10303	6	UM/0.986663
6	1	0	0	0	1	BX	SEC.	QTY/0.989405
SEC.	0	0	1	0	4	6	RUBY	PRICE/0.631091
RUBY	0	1	0	0	4	SEC.	RED	DES/0.668079
RED	0	1	0	0	3	RUBY	CLASS.	DES/0.999183
CLASS.	0	0	0	0	6	RED	FOLDERS	DES/0.809980
FOLDERS	0	1	0	0	7	CLASS.	-	DES/0.989256
-	0	0	0	0	1	FOLDERS	10/EA	DES/0.990962
10/EA	0	0	0	0	5	-	$	PRICE/0.641600
$	0	0	0	1	1	10/EA	18.95	DES/0.879759
18.95	1	0	0	1	5	$	.	PRICE/0.951959

# 0.365799
UNV10304	0	0	1	0	8	.	BX	ITEM/0.919240
BX	0	1	0	1	2	UNV10304	6	UM/0.986663
6	1	0	0	0	1	BX	SEC.	QTY/0.993130
